Air Quality Station EoI Code,Longitude,Latitude,geometry,state,district,town_city
DEBE066,13.5295,52.4853,POINT (13.5295 52.4853),Berlin,Berlin,Berlin
DEBE067,13.333,52.5066,POINT (13.333 52.5066),Berlin,Berlin,Berlin
DEBE068,13.4188,52.5136,POINT (13.4188 52.5136),Berlin,Berlin,Berlin
DEBE027,13.3681,52.3984,POINT (13.3681 52.3984),Berlin,Berlin,Berlin
DEBE033,13.2599,52.5325,POINT (13.2599 52.5325),Berlin,Berlin,Berlin
DEBW001,8.4184,49.0101,POINT (8.4184 49.0101),Baden-Württemberg,Karlsruhe (Stadtkreis),Karlsruhe
DEBW096,9.9801,48.393,POINT (9.9801 48.393),Baden-Württemberg,Ulm,Ulm
DEBW006,8.478,49.4758,POINT (8.478 49.4758),Baden-Württemberg,Mannheim,Mannheim
DEBW007,8.5258,49.432,POINT (8.5258 49.432),Baden-Württemberg,Mannheim,Mannheim
DEBW038,9.4857,47.6601,POINT (9.4857 47.6601),Baden-Württemberg,Bodenseekreis,Friedrichshafen
DEBW009,8.6767,49.4195,POINT (8.6767 49.4195),Baden-Württemberg,Heidelberg,Heidelberg
DEBW039,8.4636,48.0487,POINT (8.4636 48.0487),Baden-Württemberg,Schwarzwald-Baar-Kreis,Villingen-Schwenningen
