"Ergebnisse der Wahl der Stadtverordnetenversammlungen (SVV) in den kreisfreien Städten
sowie der Wahl der Vertretungen der kreisangehörigen Städte und Gemeinden
am 26. September 2003 im Land Brandenburg",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,LV,Listenvereingung
"Kreisfreie Stadt
bzw.
Landkreis",AGS,Gemeindename,"Wahlberechtigte
insgesamt",Wähler,,Ungültige Stimmzettel,Gültige Stimmen,Sitze,,,Verteilung der gültigen Stimmen und Sitze,,,,,,WG,Wählergemeinschaft
,,,,insgesamt,mit Wahlschein,,,insgesamt,weiblich,"Unions-
bürger",Wahlvorschlagsträger,Art,Stimmen,Sitze,Sitze weiblich,"Sitze
Unions-
bürger",EB,Einzelbewerber
,,,,,,,,,,,,,,,,,PV,Politische Vereinigung
,,,A,B,B1,C,D,E,E1,E2,,,,,,,,
,,,,,,,,,,,,,,,,,,
Dahme-Spreewald      ,12061164,Golßen                       ,2357,1297,0,39,3739,16,3,x,Wählergruppen            ,WG,447,2,0,x,,
Dahme-Spreewald      ,12061192,Groß Köris                   ,1845,1264,0,51,3607,12,3,x,CDU                      ,PA,434,1,1,x,,
Dahme-Spreewald      ,12061192,Groß Köris                   ,1845,1264,0,51,3607,12,3,x,SPD                      ,PA,201,1,1,x,,
Dahme-Spreewald      ,12061192,Groß Köris                   ,1845,1264,0,51,3607,12,3,x,PDS                      ,PA,371,1,0,x,,
Dahme-Spreewald      ,12061192,Groß Köris                   ,1845,1264,0,51,3607,12,3,x,FDP                      ,PA,91,0,0,x,,
Dahme-Spreewald      ,12061192,Groß Köris                   ,1845,1264,0,51,3607,12,3,x,Wählergruppen            ,WG,2049,7,1,x,,
Dahme-Spreewald      ,12061192,Groß Köris                   ,1845,1264,0,51,3607,12,3,x,Listenvereinigungen      ,LV,461,2,0,x,,
Dahme-Spreewald      ,12061216,Halbe                        ,1891,1092,0,47,3113,12,4,x,SPD                      ,PA,146,1,0,x,,
Dahme-Spreewald      ,12061216,Halbe                        ,1891,1092,0,47,3113,12,4,x,PDS                      ,PA,395,1,0,x,,
Dahme-Spreewald      ,12061216,Halbe                        ,1891,1092,0,47,3113,12,4,x,FDP                      ,PA,206,1,0,x,,
Dahme-Spreewald      ,12061216,Halbe                        ,1891,1092,0,47,3113,12,4,x,Wählergruppen            ,WG,2261,9,4,x,,
