"Ergebnisse der Wahl der Stadtverordnetenversammlungen (SVV) in den kreisfreien Städten
sowie der Wahl der Vertretungen der kreisangehörigen Städte und Gemeinden
am 26. September 2003 im Land Brandenburg",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,LV,Listenvereingung
"Kreisfreie Stadt
bzw.
Landkreis",AGS,Gemeindename,"Wahlberechtigte
insgesamt",Wähler,,Ungültige Stimmzettel,Gültige Stimmen,Sitze,,,Verteilung der gültigen Stimmen und Sitze,,,,,,WG,Wählergemeinschaft
,,,,insgesamt,mit Wahlschein,,,insgesamt,weiblich,"Unions-
bürger",Wahlvorschlagsträger,Art,Stimmen,Sitze,Sitze weiblich,"Sitze
Unions-
bürger",EB,Einzelbewerber
,,,,,,,,,,,,,,,,,PV,Politische Vereinigung
,,,A,B,B1,C,D,E,E1,E2,,,,,,,,
,,,,,,,,,,,,,,,,,,
Dahme-Spreewald      ,12061216,Halbe                        ,1891,1092,0,47,3113,12,4,x,Einzelbewerber           ,EB,105,0,0,x,,
Dahme-Spreewald      ,12061217,Heidesee                     ,5785,3466,0,142,9867,18,2,x,CDU                      ,PA,1371,2,0,x,,
Dahme-Spreewald      ,12061217,Heidesee                     ,5785,3466,0,142,9867,18,2,x,SPD                      ,PA,1551,3,1,x,,
Dahme-Spreewald      ,12061217,Heidesee                     ,5785,3466,0,142,9867,18,2,x,PDS                      ,PA,936,2,0,x,,
Dahme-Spreewald      ,12061217,Heidesee                     ,5785,3466,0,142,9867,18,2,x,Wählergruppen            ,WG,5844,11,1,x,,
Dahme-Spreewald      ,12061217,Heidesee                     ,5785,3466,0,142,9867,18,2,x,Schill                   ,PA,165,0,0,x,,
Dahme-Spreewald      ,12061219,Heideblick                   ,3768,2170,0,108,6109,20,6,x,CDU                      ,PA,1418,5,1,x,,
Dahme-Spreewald      ,12061219,Heideblick                   ,3768,2170,0,108,6109,20,6,x,SPD                      ,PA,742,2,2,x,,
Dahme-Spreewald      ,12061219,Heideblick                   ,3768,2170,0,108,6109,20,6,x,FDP                      ,PA,684,2,0,x,,
Dahme-Spreewald      ,12061219,Heideblick                   ,3768,2170,0,108,6109,20,6,x,GRÜNE/B 90               ,PA,63,0,0,x,,
Dahme-Spreewald      ,12061219,Heideblick                   ,3768,2170,0,108,6109,20,6,x,Wählergruppen            ,WG,3202,11,3,x,,
Dahme-Spreewald      ,12061224,Jamlitz                      ,559,308,0,0,887,8,2,x,Wählergruppen            ,WG,887,8,2,x,,
Dahme-Spreewald      ,12061244,Kasel-Golzig                 ,630,365,0,6,1074,10,1,x,CDU                      ,PA,225,2,0,x,,
Dahme-Spreewald      ,12061244,Kasel-Golzig                 ,630,365,0,6,1074,10,1,x,Wählergruppen            ,WG,704,7,1,x,,
Dahme-Spreewald      ,12061244,Kasel-Golzig                 ,630,365,0,6,1074,10,1,x,Einzelbewerber           ,EB,145,1,0,x,,
Dahme-Spreewald      ,12061260,Königs Wusterhausen          ,26672,11314,1004,414,32351,32,9,x,CDU                      ,PA,7651,7,0,x,,
Dahme-Spreewald      ,12061260,Königs Wusterhausen          ,26672,11314,1004,414,32351,32,9,x,SPD                      ,PA,7794,8,4,x,,
Dahme-Spreewald      ,12061260,Königs Wusterhausen          ,26672,11314,1004,414,32351,32,9,x,PDS                      ,PA,9685,10,3,x,,
Dahme-Spreewald      ,12061260,Königs Wusterhausen          ,26672,11314,1004,414,32351,32,9,x,FDP                      ,PA,1945,2,0,x,,
Dahme-Spreewald      ,12061260,Königs Wusterhausen          ,26672,11314,1004,414,32351,32,9,x,Wählergruppen            ,WG,5004,5,2,x,,
Dahme-Spreewald      ,12061260,Königs Wusterhausen          ,26672,11314,1004,414,32351,32,9,x,Einzelbewerber           ,EB,272,0,0,x,,
Dahme-Spreewald      ,12061265,Krausnick-Groß Wasserburg    ,517,294,0,12,841,8,3,x,Wählergruppen            ,WG,425,5,3,x,,
Dahme-Spreewald      ,12061265,Krausnick-Groß Wasserburg    ,517,294,0,12,841,8,3,x,Einzelbewerber           ,EB,416,3,0,x,,
Dahme-Spreewald      ,12061308,Lieberose                    ,1418,865,0,0,2497,12,4,x,SPD                      ,PA,134,1,1,x,,
Dahme-Spreewald      ,12061308,Lieberose                    ,1418,865,0,0,2497,12,4,x,PDS                      ,PA,657,3,1,x,,
Dahme-Spreewald      ,12061308,Lieberose                    ,1418,865,0,0,2497,12,4,x,FDP                      ,PA,98,0,0,x,,
Dahme-Spreewald      ,12061308,Lieberose                    ,1418,865,0,0,2497,12,4,x,Wählergruppen            ,WG,1344,7,2,x,,
Dahme-Spreewald      ,12061308,Lieberose                    ,1418,865,0,0,2497,12,4,x,Einzelbewerber           ,EB,264,1,0,x,,
Dahme-Spreewald      ,12061316,Lübben (Spreewald)           ,12313,5117,482,228,14489,22,6,x,CDU                      ,PA,5168,8,2,x,,
Dahme-Spreewald      ,12061316,Lübben (Spreewald)           ,12313,5117,482,228,14489,22,6,x,SPD                      ,PA,3198,5,1,x,,
Dahme-Spreewald      ,12061316,Lübben (Spreewald)           ,12313,5117,482,228,14489,22,6,x,PDS                      ,PA,3036,5,2,x,,
Dahme-Spreewald      ,12061316,Lübben (Spreewald)           ,12313,5117,482,228,14489,22,6,x,FDP                      ,PA,936,1,0,x,,
Dahme-Spreewald      ,12061316,Lübben (Spreewald)           ,12313,5117,482,228,14489,22,6,x,Wählergruppen            ,WG,2151,3,1,x,,
Dahme-Spreewald      ,12061320,Luckau                       ,8864,4215,0,223,11776,22,0,x,CDU                      ,PA,2701,5,0,x,,
Dahme-Spreewald      ,12061320,Luckau                       ,8864,4215,0,223,11776,22,0,x,SPD                      ,PA,2839,5,0,x,,
Dahme-Spreewald      ,12061320,Luckau                       ,8864,4215,0,223,11776,22,0,x,PDS                      ,PA,1380,3,0,x,,
Dahme-Spreewald      ,12061320,Luckau                       ,8864,4215,0,223,11776,22,0,x,FDP                      ,PA,609,1,0,x,,
Dahme-Spreewald      ,12061320,Luckau                       ,8864,4215,0,223,11776,22,0,x,GRÜNE/B 90               ,PA,562,1,0,x,,
Dahme-Spreewald      ,12061320,Luckau                       ,8864,4215,0,223,11776,22,0,x,Wählergruppen            ,WG,3685,7,0,x,,
Dahme-Spreewald      ,12061328,Märkisch Buchholz            ,706,502,0,20,1432,10,3,x,SPD                      ,PA,139,1,1,x,,
Dahme-Spreewald      ,12061328,Märkisch Buchholz            ,706,502,0,20,1432,10,3,x,Wählergruppen            ,WG,1293,9,2,x,,
Dahme-Spreewald      ,12061329,Märkische Heide              ,3987,2651,0,103,7561,16,1,x,CDU                      ,PA,666,1,0,x,,
Dahme-Spreewald      ,12061329,Märkische Heide              ,3987,2651,0,103,7561,16,1,x,SPD                      ,PA,1907,4,0,x,,
Dahme-Spreewald      ,12061329,Märkische Heide              ,3987,2651,0,103,7561,16,1,x,Wählergruppen            ,WG,4165,10,1,x,,
Dahme-Spreewald      ,12061329,Märkische Heide              ,3987,2651,0,103,7561,16,1,x,Einzelbewerber           ,EB,823,1,0,x,,
Dahme-Spreewald      ,12061332,Mittenwalde                  ,6996,4080,0,174,11585,18,3,x,CDU                      ,PA,4215,7,1,x,,
Dahme-Spreewald      ,12061332,Mittenwalde                  ,6996,4080,0,174,11585,18,3,x,SPD                      ,PA,2160,3,1,x,,
Dahme-Spreewald      ,12061332,Mittenwalde                  ,6996,4080,0,174,11585,18,3,x,PDS                      ,PA,1004,2,1,x,,
Dahme-Spreewald      ,12061332,Mittenwalde                  ,6996,4080,0,174,11585,18,3,x,FDP                      ,PA,206,0,0,x,,
Dahme-Spreewald      ,12061332,Mittenwalde                  ,6996,4080,0,174,11585,18,3,x,Wählergruppen            ,WG,3207,5,0,x,,
Dahme-Spreewald      ,12061332,Mittenwalde                  ,6996,4080,0,174,11585,18,3,x,Einzelbewerber           ,EB,588,1,0,x,,
Dahme-Spreewald      ,12061332,Mittenwalde                  ,6996,4080,0,174,11585,18,3,x,Schill                   ,PA,205,0,0,x,,
Dahme-Spreewald      ,12061344,Münchehofe                   ,465,303,0,13,865,8,1,x,Wählergruppen            ,WG,648,6,0,x,,
Dahme-Spreewald      ,12061344,Münchehofe                   ,465,303,0,13,865,8,1,x,Einzelbewerber           ,EB,217,2,1,x,,
Dahme-Spreewald      ,12061352,Neu Zauche                   ,1077,634,29,35,1787,10,3,x,Wählergruppen            ,WG,1430,9,3,x,,
Dahme-Spreewald      ,12061352,Neu Zauche                   ,1077,634,29,35,1787,10,3,x,Einzelbewerber           ,EB,357,1,0,x,,
Dahme-Spreewald      ,12061405,Rietzneuendorf-Staakow       ,604,399,0,21,1130,10,4,x,CDU                      ,PA,109,1,1,x,,
Dahme-Spreewald      ,12061405,Rietzneuendorf-Staakow       ,604,399,0,21,1130,10,4,x,Wählergruppen            ,WG,947,8,3,x,,
Dahme-Spreewald      ,12061405,Rietzneuendorf-Staakow       ,604,399,0,21,1130,10,4,x,Einzelbewerber           ,EB,74,1,0,x,,
Dahme-Spreewald      ,12061428,Schlepzig                    ,581,329,0,16,938,8,1,x,Wählergruppen            ,WG,808,7,1,x,,
Dahme-Spreewald      ,12061428,Schlepzig                    ,581,329,0,16,938,8,1,x,Einzelbewerber           ,EB,130,1,0,x,,
Dahme-Spreewald      ,12061433,Schönefeld                   ,9091,3970,0,133,11422,22,0,x,CDU                      ,PA,3437,7,0,x,,
Dahme-Spreewald      ,12061433,Schönefeld                   ,9091,3970,0,133,11422,22,0,x,SPD                      ,PA,1426,3,0,x,,
Dahme-Spreewald      ,12061433,Schönefeld                   ,9091,3970,0,133,11422,22,0,x,PDS                      ,PA,873,2,0,x,,
Dahme-Spreewald      ,12061433,Schönefeld                   ,9091,3970,0,133,11422,22,0,x,GRÜNE/B 90               ,PA,319,0,0,x,,
Dahme-Spreewald      ,12061433,Schönefeld                   ,9091,3970,0,133,11422,22,0,x,Wählergruppen            ,WG,4485,9,0,x,,
Dahme-Spreewald      ,12061433,Schönefeld                   ,9091,3970,0,133,11422,22,0,x,Einzelbewerber           ,EB,882,1,0,x,,
Dahme-Spreewald      ,12061435,Schönwald                    ,1034,576,0,20,1653,10,2,x,CDU                      ,PA,336,2,1,x,,
Dahme-Spreewald      ,12061435,Schönwald                    ,1034,576,0,20,1653,10,2,x,PDS                      ,PA,150,1,1,x,,
Dahme-Spreewald      ,12061435,Schönwald                    ,1034,576,0,20,1653,10,2,x,Wählergruppen            ,WG,1167,7,0,x,,
Dahme-Spreewald      ,12061444,Schulzendorf                 ,5942,2915,264,117,8339,18,4,x,CDU                      ,PA,2345,5,1,x,,
Dahme-Spreewald      ,12061444,Schulzendorf                 ,5942,2915,264,117,8339,18,4,x,SPD                      ,PA,1903,4,1,x,,
Dahme-Spreewald      ,12061444,Schulzendorf                 ,5942,2915,264,117,8339,18,4,x,PDS                      ,PA,2667,6,2,x,,
Dahme-Spreewald      ,12061444,Schulzendorf                 ,5942,2915,264,117,8339,18,4,x,GRÜNE/B 90               ,PA,929,2,0,x,,
Dahme-Spreewald      ,12061444,Schulzendorf                 ,5942,2915,264,117,8339,18,4,x,Einzelbewerber           ,EB,495,1,0,x,,
Dahme-Spreewald      ,12061448,Schwerin                     ,642,453,0,17,1299,10,2,x,CDU                      ,PA,87,0,0,x,,
Dahme-Spreewald      ,12061448,Schwerin                     ,642,453,0,17,1299,10,2,x,SPD                      ,PA,93,1,0,x,,
Dahme-Spreewald      ,12061448,Schwerin                     ,642,453,0,17,1299,10,2,x,PDS                      ,PA,120,1,0,x,,
Dahme-Spreewald      ,12061448,Schwerin                     ,642,453,0,17,1299,10,2,x,Wählergruppen            ,WG,999,8,2,x,,
Dahme-Spreewald      ,12061450,Schwielochsee                ,1461,1133,0,0,3224,12,1,x,Wählergruppen            ,WG,1716,7,1,x,,
Dahme-Spreewald      ,12061450,Schwielochsee                ,1461,1133,0,0,3224,12,1,x,Listenvereinigungen      ,LV,1508,5,0,x,,
Dahme-Spreewald      ,12061470,Spreewaldheide               ,486,334,8,13,952,8,0,x,Wählergruppen            ,WG,952,8,0,x,,
Dahme-Spreewald      ,12061471,Steinreich                   ,529,293,0,7,846,8,1,x,CDU                      ,PA,184,2,0,x,,
Dahme-Spreewald      ,12061471,Steinreich                   ,529,293,0,7,846,8,1,x,Wählergruppen            ,WG,662,6,1,x,,
Dahme-Spreewald      ,12061476,Straupitz                    ,950,488,0,19,1370,10,1,x,CDU                      ,PA,303,2,0,x,,
Dahme-Spreewald      ,12061476,Straupitz                    ,950,488,0,19,1370,10,1,x,SPD                      ,PA,77,1,0,x,,
Dahme-Spreewald      ,12061476,Straupitz                    ,950,488,0,19,1370,10,1,x,FDP                      ,PA,454,3,0,x,,
Dahme-Spreewald      ,12061476,Straupitz                    ,950,488,0,19,1370,10,1,x,Wählergruppen            ,WG,536,4,1,x,,
Dahme-Spreewald      ,12061492,Teupitz                      ,1526,992,0,24,2874,12,1,x,CDU                      ,PA,1917,8,1,x,,
Dahme-Spreewald      ,12061492,Teupitz                      ,1526,992,0,24,2874,12,1,x,SPD                      ,PA,562,2,0,x,,
Dahme-Spreewald      ,12061492,Teupitz                      ,1526,992,0,24,2874,12,1,x,PDS                      ,PA,280,1,0,x,,
Dahme-Spreewald      ,12061492,Teupitz                      ,1526,992,0,24,2874,12,1,x,Einzelbewerber           ,EB,115,1,0,x,,
Dahme-Spreewald      ,12061510,Unterspreewald               ,746,434,0,10,1265,10,1,x,Wählergruppen            ,WG,924,7,1,x,,
Dahme-Spreewald      ,12061510,Unterspreewald               ,746,434,0,10,1265,10,1,x,Einzelbewerber           ,EB,341,3,0,x,,
Dahme-Spreewald      ,12061540,Wildau                       ,7790,3613,302,132,10343,18,3,x,CDU                      ,PA,1976,4,0,x,,
Dahme-Spreewald      ,12061540,Wildau                       ,7790,3613,302,132,10343,18,3,x,SPD                      ,PA,3443,6,0,x,,
Dahme-Spreewald      ,12061540,Wildau                       ,7790,3613,302,132,10343,18,3,x,PDS                      ,PA,3122,6,2,x,,
Dahme-Spreewald      ,12061540,Wildau                       ,7790,3613,302,132,10343,18,3,x,FDP                      ,PA,203,0,0,x,,
Dahme-Spreewald      ,12061540,Wildau                       ,7790,3613,302,132,10343,18,3,x,Wählergruppen            ,WG,1208,2,1,x,,
Dahme-Spreewald      ,12061540,Wildau                       ,7790,3613,302,132,10343,18,3,x,Einzelbewerber           ,EB,151,0,0,x,,
Dahme-Spreewald      ,12061540,Wildau                       ,7790,3613,302,132,10343,18,3,x,Schill                   ,PA,240,0,0,x,,
Dahme-Spreewald      ,12061572,Zeuthen                      ,8150,3891,0,118,11238,18,6,x,CDU                      ,PA,2024,3,0,x,,
Dahme-Spreewald      ,12061572,Zeuthen                      ,8150,3891,0,118,11238,18,6,x,SPD                      ,PA,2443,4,3,x,,
Dahme-Spreewald      ,12061572,Zeuthen                      ,8150,3891,0,118,11238,18,6,x,PDS                      ,PA,2369,4,1,x,,
Dahme-Spreewald      ,12061572,Zeuthen                      ,8150,3891,0,118,11238,18,6,x,FDP                      ,PA,246,0,0,x,,
Dahme-Spreewald      ,12061572,Zeuthen                      ,8150,3891,0,118,11238,18,6,x,GRÜNE/B 90               ,PA,559,1,0,x,,
Dahme-Spreewald      ,12061572,Zeuthen                      ,8150,3891,0,118,11238,18,6,x,Wählergruppen            ,WG,3597,6,2,x,,
Elbe-Elster          ,12062024,Bad Liebenwerda              ,9237,4194,382,137,11912,22,5,x,CDU                      ,PA,4560,8,3,x,,
Elbe-Elster          ,12062024,Bad Liebenwerda              ,9237,4194,382,137,11912,22,5,x,SPD                      ,PA,2396,5,0,x,,
Elbe-Elster          ,12062024,Bad Liebenwerda              ,9237,4194,382,137,11912,22,5,x,PDS                      ,PA,2776,5,2,x,,
Elbe-Elster          ,12062024,Bad Liebenwerda              ,9237,4194,382,137,11912,22,5,x,FDP                      ,PA,1286,2,0,x,,
Elbe-Elster          ,12062024,Bad Liebenwerda              ,9237,4194,382,137,11912,22,5,x,Bürger                   ,PV,415,1,0,x,,
Elbe-Elster          ,12062024,Bad Liebenwerda              ,9237,4194,382,137,11912,22,5,x,FAMILIE                  ,PA,479,1,0,x,,
Elbe-Elster          ,12062088,Crinitz                      ,1291,766,47,30,2161,12,3,x,CDU                      ,PA,314,2,0,x,,
Elbe-Elster          ,12062088,Crinitz                      ,1291,766,47,30,2161,12,3,x,SPD                      ,PA,812,4,2,x,,
Elbe-Elster          ,12062088,Crinitz                      ,1291,766,47,30,2161,12,3,x,FDP                      ,PA,512,3,0,x,,
Elbe-Elster          ,12062088,Crinitz                      ,1291,766,47,30,2161,12,3,x,Wählergruppen            ,WG,523,3,1,x,,
Elbe-Elster          ,12062092,Doberlug-Kirchhain           ,8775,4023,260,136,11431,22,3,x,CDU                      ,PA,3984,8,1,x,,
Elbe-Elster          ,12062092,Doberlug-Kirchhain           ,8775,4023,260,136,11431,22,3,x,SPD                      ,PA,1731,3,0,x,,
Elbe-Elster          ,12062092,Doberlug-Kirchhain           ,8775,4023,260,136,11431,22,3,x,PDS                      ,PA,1506,3,1,x,,
Elbe-Elster          ,12062092,Doberlug-Kirchhain           ,8775,4023,260,136,11431,22,3,x,FDP                      ,PA,1732,3,0,x,,
Elbe-Elster          ,12062092,Doberlug-Kirchhain           ,8775,4023,260,136,11431,22,3,x,Wählergruppen            ,WG,1737,4,1,x,,
Elbe-Elster          ,12062092,Doberlug-Kirchhain           ,8775,4023,260,136,11431,22,3,x,Einzelbewerber           ,EB,741,1,0,x,,
Elbe-Elster          ,12062124,Elsterwerda                  ,8228,3240,317,96,9362,18,7,x,CDU                      ,PA,3763,7,1,x,,
Elbe-Elster          ,12062124,Elsterwerda                  ,8228,3240,317,96,9362,18,7,x,SPD                      ,PA,2379,5,5,x,,
Elbe-Elster          ,12062124,Elsterwerda                  ,8228,3240,317,96,9362,18,7,x,PDS                      ,PA,1942,4,1,x,,
Elbe-Elster          ,12062124,Elsterwerda                  ,8228,3240,317,96,9362,18,7,x,Wählergruppen            ,WG,1278,2,0,x,,
Elbe-Elster          ,12062128,Falkenberg/Elster            ,6739,3019,203,115,8654,18,1,x,CDU                      ,PA,2915,6,0,x,,
Elbe-Elster          ,12062128,Falkenberg/Elster            ,6739,3019,203,115,8654,18,1,x,SPD                      ,PA,2838,6,0,x,,
Elbe-Elster          ,12062128,Falkenberg/Elster            ,6739,3019,203,115,8654,18,1,x,PDS                      ,PA,945,2,0,x,,
Elbe-Elster          ,12062128,Falkenberg/Elster            ,6739,3019,203,115,8654,18,1,x,FDP                      ,PA,378,1,0,x,,
Elbe-Elster          ,12062128,Falkenberg/Elster            ,6739,3019,203,115,8654,18,1,x,Wählergruppen            ,WG,1578,3,1,x,,
Elbe-Elster          ,12062134,Fichtwald                    ,678,446,17,14,1276,10,1,x,CDU                      ,PA,105,1,0,x,,
Elbe-Elster          ,12062134,Fichtwald                    ,678,446,17,14,1276,10,1,x,Wählergruppen            ,WG,633,5,0,x,,
Elbe-Elster          ,12062134,Fichtwald                    ,678,446,17,14,1276,10,1,x,Einzelbewerber           ,EB,538,4,1,x,,
Elbe-Elster          ,12062140,Finsterwalde                 ,16130,6626,517,229,18962,28,6,x,CDU                      ,PA,4478,7,1,x,,
Elbe-Elster          ,12062140,Finsterwalde                 ,16130,6626,517,229,18962,28,6,x,SPD                      ,PA,2729,4,1,x,,
Elbe-Elster          ,12062140,Finsterwalde                 ,16130,6626,517,229,18962,28,6,x,PDS                      ,PA,2774,4,1,x,,
Elbe-Elster          ,12062140,Finsterwalde                 ,16130,6626,517,229,18962,28,6,x,FDP                      ,PA,3540,5,1,x,,
Elbe-Elster          ,12062140,Finsterwalde                 ,16130,6626,517,229,18962,28,6,x,GRÜNE/B 90               ,PA,258,0,0,x,,
Elbe-Elster          ,12062140,Finsterwalde                 ,16130,6626,517,229,18962,28,6,x,Wählergruppen            ,WG,5183,8,2,x,,
Elbe-Elster          ,12062177,Gorden-Staupitz              ,1032,591,19,63,1567,10,4,x,Wählergruppen            ,WG,1520,10,4,x,,
Elbe-Elster          ,12062177,Gorden-Staupitz              ,1032,591,19,63,1567,10,4,x,Einzelbewerber           ,EB,47,0,0,x,,
Elbe-Elster          ,12062196,Gröden                       ,1387,670,46,65,1779,12,2,x,CDU                      ,PA,466,3,0,x,,
Elbe-Elster          ,12062196,Gröden                       ,1387,670,46,65,1779,12,2,x,Wählergruppen            ,WG,1154,8,2,x,,
Elbe-Elster          ,12062196,Gröden                       ,1387,670,46,65,1779,12,2,x,Einzelbewerber           ,EB,159,1,0,x,,
Elbe-Elster          ,12062208,Großthiemig                  ,1099,519,9,22,1480,10,2,x,Wählergruppen            ,WG,1035,7,1,x,,
Elbe-Elster          ,12062208,Großthiemig                  ,1099,519,9,22,1480,10,2,x,Einzelbewerber           ,EB,445,3,1,x,,
Elbe-Elster          ,12062219,Heideland                    ,527,372,13,11,1060,8,0,x,CDU                      ,PA,157,1,0,x,,
Elbe-Elster          ,12062219,Heideland                    ,527,372,13,11,1060,8,0,x,PDS                      ,PA,43,0,0,x,,
Elbe-Elster          ,12062219,Heideland                    ,527,372,13,11,1060,8,0,x,Wählergruppen            ,WG,690,5,0,x,,
Elbe-Elster          ,12062219,Heideland                    ,527,372,13,11,1060,8,0,x,Einzelbewerber           ,EB,170,2,0,x,,
Elbe-Elster          ,12062224,Herzberg (Elster)            ,8952,4181,223,159,11942,22,8,x,CDU                      ,PA,3764,7,4,x,,
Elbe-Elster          ,12062224,Herzberg (Elster)            ,8952,4181,223,159,11942,22,8,x,SPD                      ,PA,1911,3,0,x,,
Elbe-Elster          ,12062224,Herzberg (Elster)            ,8952,4181,223,159,11942,22,8,x,PDS                      ,PA,2543,5,3,x,,
Elbe-Elster          ,12062224,Herzberg (Elster)            ,8952,4181,223,159,11942,22,8,x,Wählergruppen            ,WG,3724,7,1,x,,
Elbe-Elster          ,12062232,Hirschfeld                   ,1239,761,26,54,2096,10,3,x,CDU                      ,PA,311,2,0,x,,
Elbe-Elster          ,12062232,Hirschfeld                   ,1239,761,26,54,2096,10,3,x,Wählergruppen            ,WG,1078,5,1,x,,
Elbe-Elster          ,12062232,Hirschfeld                   ,1239,761,26,54,2096,10,3,x,Einzelbewerber           ,EB,707,3,2,x,,
Elbe-Elster          ,12062237,Hohenbucko                   ,654,461,36,14,1330,10,1,x,SPD                      ,PA,129,1,0,x,,
Elbe-Elster          ,12062237,Hohenbucko                   ,654,461,36,14,1330,10,1,x,Wählergruppen            ,WG,841,6,1,x,,
Elbe-Elster          ,12062237,Hohenbucko                   ,654,461,36,14,1330,10,1,x,Einzelbewerber           ,EB,360,3,0,x,,
Elbe-Elster          ,12062240,Hohenleipisch                ,1994,1137,78,47,3220,16,2,x,CDU                      ,PA,1339,7,0,x,,
