Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State,District,City
DEBW001,SO2,1990,0.0,count,Traffic,urban,BW,Karlsruhe (Stadtkreis),Karlsruhe
DEHH020,SO2,1990,114.958,ug/m3,Background,urban,HH,Hamburg,Hamburg
DEHH022,SO2,1990,2.0,count,Background,suburban,HH,Hamburg,Hamburg
DEHH022,SO2,1990,6.0,ug/m3,Background,suburban,HH,Hamburg,Hamburg
DEHE003,SO2,1990,99.31,ug/m3,Traffic,urban,HE,Frankfurt am Main,Frankfurt am Main
DEHH023,SO2,1990,186.0,ug/m3,Background,suburban,HH,Hamburg,Hamburg
DEBW083,O3,1990,30600.0,ug/m3,Traffic,urban,BW,Freiburg im Breisgau,Freiburg im Breisgau
DEBW009,SO2,1990,103.309,ug/m3,Traffic,urban,BW,Heidelberg,Heidelberg
DEBE005,SO2,1990,10.0,count,Background,suburban,BE,Berlin,Berlin
DEBW001,SO2,1990,93.35,ug/m3,Traffic,urban,BW,Karlsruhe (Stadtkreis),Karlsruhe
DEBE006,SO2,1990,34.0,count,Background,suburban,BE,Berlin,Berlin
DEBW011,SO2,1990,13.2,ug/m3,Traffic,urban,BW,Stuttgart,Stuttgart
DEBW011,SO2,1990,0.0,count,Traffic,urban,BW,Stuttgart,Stuttgart
